SMILES,pIC50
CCNC(=O)Nc1nc2cc(N)ncc2cc1-c1ccccc1,5.886056648
O=c1[nH]c2ccc(Cl)cc2c(NCCC2CCCNC2)c1-c1nc2cc(N3CCOCC3)ccc2[nH]1,5
O=C(Nc1cc(Oc2ccc3c(ccn3C(=O)NC3CC3)c2)ccn1)N1CCC(N2CCCC2)CC1,7.283996656
CC(C)N1CCN(c2ccc3[nH]c(-c4c(N)c5cc(F)ccc5[nH]c4=O)nc3c2)CC1,5
Nc1c(-c2nc3cc(N4CCOCC4)ccc3[nH]2)c(=O)[nH]c2cnccc12,5
O=c1[nH]c2cccc(F)c2c(N[C@H]2CN3CCC2CC3)c1-c1nc2ccccc2[nH]1,5
CCOC(=O)c1c(CC)c2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1Br,4.602059991
CN1CCN(c2ccc3nc(-c4c(N)c5cc(NCC6CCCCC6)ccc5[nH]c4=O)[nH]c3c2)CC1,5
Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@H](C)O)c(C)c34)ccc2[nH]1,5
CN(C)C(=O)c1ccc2c(N[C@H]3CN4CCC3CC4)c(-c3nc4ccccc4[nH]3)c(=O)[nH]c2c1,5
O=c1[nH]c2ccc(Cl)cc2c(Nc2ccncc2)c1-c1nc2cc(N3CCOCC3)ccc2[nH]1,5
Cc1c(/C=C2\C(=O)Nc3ccc(C(N)=O)cc32)[nH]c2ccccc12,4.698970004
C[C@H]1CN(c2ccc3[nH]c(-c4c(N)c5ccccc5[nH]c4=O)nc3c2)C[C@H](C)N1,5
Nc1c(-c2nc3cc(C(=O)N4CCOCC4)ccc3[nH]2)c(=O)[nH]c2ccccc12,5
O=c1[nH]c2ccc([N+](=O)[O-])cc2c(N[C@H]2CN3CCC2CC3)c1-c1nc2ccccc2[nH]1,5
CNS(=O)(=O)c1ccc2c(c1)/C(=C1\CCc3c1[nH]c(C)c3C(=O)N1CCC[C@H]1CN1CCCC1)C(=O)N2,7.823908741
CN1CCCC1CCNc1cc2[nH]c(=O)c(-c3nc4ccccc4[nH]3)c(N[C@H]3CN4CCC3CC4)c2cc1F,5
CN1CCC(N(C)C(=O)c2ccc3[nH]c(-c4c(N)c5c(F)cccc5[nH]c4=O)nc3c2)C1,5
